video_id,track_id,frame_inicial,frame_final,cor,confianca_media
a,3,8,8,branco,0.9992
a,4,12,20,branco,0.6694
a,5,56,82,cinza_prata,0.9727
a,10,92,108,cinza_prata,0.7447
a,12,108,108,branco,1.0
a,16,128,148,cinza_prata,0.9893
a,17,158,170,vermelho,0.9964
a,20,208,210,vermelho,0.9849
a,24,230,246,preto,0.6117
a,27,240,258,verde,0.3947
a,32,258,264,cinza_prata,0.9725
a,33,262,278,cinza_prata,0.7845
a,35,284,302,cinza_prata,0.9962
a,36,298,304,azul,0.4144
a,38,298,370,cinza_prata,0.8053
a,41,312,330,cinza_prata,0.9998
a,42,320,334,branco,0.7738
a,47,384,406,cinza_prata,0.999
a,55,414,420,preto,0.6587
a,60,466,482,cinza_prata,0.6854
a,64,516,520,branco,0.5326
a,66,520,532,vermelho,0.9961
a,67,556,566,cinza_prata,0.9846
a,68,582,598,azul,0.8588
a,73,596,602,branco,0.8247
a,75,628,640,cinza_prata,0.8193
a,77,650,664,cinza_prata,0.3535
