video_id,track_id,frame_inicial,frame_final,cor,confianca_media
a,2,8,110,dourado,0.9382
a,3,10,66,cinza_prata,0.9287
a,6,30,42,branco,0.7368
a,9,50,80,branco,0.8669
a,14,64,64,cinza_prata,0.9961
a,17,70,108,branco,0.7936
a,25,96,144,branco,0.9424
a,27,104,106,branco,1.0
a,28,108,158,branco,0.8519
a,31,120,170,vermelho,0.9122
a,38,202,206,laranja,0.9971
a,40,206,212,preto,0.7528
a,42,208,246,azul,0.6777
a,43,210,218,vermelho,0.6797
a,45,214,250,amarelo,0.8789
a,47,216,258,marrom,0.869
a,48,220,302,cinza_prata,0.82
a,52,228,268,azul,0.9964
a,53,230,258,cinza_prata,0.7796
a,54,230,268,marrom,0.9759
a,57,234,280,cinza_prata,0.969
a,66,250,252,cinza_prata,0.7041
a,69,258,270,vermelho,0.9561
a,74,264,264,branco,0.8906
a,75,264,290,dourado,0.6678
a,77,268,280,azul,0.856
a,82,280,332,branco,0.7991
a,85,292,296,azul,0.915
a,87,300,336,preto,0.8301
a,88,300,330,cinza_prata,0.9696
a,89,300,310,amarelo,0.8291
a,97,342,372,preto,0.722
a,99,344,346,cinza_prata,0.5999
a,100,346,406,cinza_prata,0.7673
a,104,388,422,verde,0.7179
a,109,406,426,dourado,0.7751
a,115,436,468,azul,0.6873
a,117,444,444,preto,0.9712
a,120,450,482,cinza_prata,0.7767
a,124,472,472,branco,0.7563
a,128,480,482,vermelho,0.9951
a,134,492,530,vermelho,1.0
a,135,492,522,cinza_prata,0.6395
a,136,530,568,preto,0.9027
a,137,532,640,cinza_prata,0.7491
a,147,570,598,azul,0.9131
a,148,582,590,cinza_prata,0.5679
a,149,588,590,dourado,0.6025
a,150,592,652,cinza_prata,0.9944
a,153,596,642,cinza_prata,0.8787
a,159,646,648,cinza_prata,0.8262
a,162,652,652,cinza_prata,0.8315
a,163,656,676,cinza_prata,0.7441
