video_id,track_id,frame_inicial,frame_final,cor,confianca_media
b,1,0,204,azul,0.8993
b,2,0,21,preto,0.8828
b,3,0,176,preto,0.838
b,4,0,39,cinza_prata,0.9795
b,5,0,5,cinza_prata,0.686
b,7,9,235,preto,0.8735
b,8,54,261,azul,0.9015
b,9,68,286,cinza_prata,0.8835
b,11,98,402,preto,0.8638
b,12,128,395,cinza_prata,0.8029
b,13,170,423,cinza_prata,0.9085
b,15,176,417,preto,0.8075
b,16,186,448,cinza_prata,0.8225
b,18,197,294,cinza_prata,0.6753
b,21,206,271,dourado,0.9114
b,22,216,455,cinza_prata,0.7631
b,23,222,474,vermelho,0.99
b,24,245,481,branco,0.9606
b,25,279,508,cinza_prata,0.8735
b,26,294,424,cinza_prata,0.8085
b,29,323,541,preto,0.9118
b,33,359,605,azul,0.9782
b,34,364,600,dourado,0.7363
b,36,373,515,cinza_prata,0.8451
b,37,379,621,cinza_prata,0.7968
b,38,392,476,preto,0.9839
b,45,410,633,dourado,0.7332
b,48,417,494,marrom,0.8433
b,49,417,465,cinza_prata,0.7222
b,50,434,695,preto,0.8881
b,51,449,725,vermelho,0.9691
b,55,488,655,cinza_prata,0.8389
b,57,507,574,vermelho,0.9985
b,58,551,787,azul,0.8936
b,60,560,712,cinza_prata,0.9797
b,63,590,795,branco,0.8151
b,64,592,838,preto,0.9351
b,67,612,741,preto,0.8822
b,68,620,853,cinza_prata,0.9198
b,69,645,892,azul,0.8011
b,71,701,749,cinza_prata,0.668
b,74,773,1016,cinza_prata,0.9165
b,76,796,1040,cinza_prata,0.9425
b,78,804,1075,preto,0.9261
b,79,806,996,preto,0.7915
b,80,838,1101,amarelo,0.9637
b,81,875,1113,preto,0.834
b,83,881,1115,cinza_prata,0.839
b,86,911,1143,azul,0.9902
b,87,928,1146,cinza_prata,0.9367
b,88,939,1166,cinza_prata,0.702
b,90,976,1224,preto,0.8231
b,92,990,1234,vermelho,0.9016
b,99,1013,1101,cinza_prata,0.924
b,101,1070,1332,cinza_prata,0.7178
b,103,1084,1093,cinza_prata,0.8237
b,105,1093,1176,cinza_prata,0.8866
b,106,1096,1103,cinza_prata,0.9858
b,109,1104,1393,cinza_prata,0.9215
b,110,1114,1353,cinza_prata,0.6805
b,111,1127,1130,branco,0.731
b,114,1141,1281,branco,0.9875
b,116,1148,1174,preto,0.873
b,118,1168,1172,cinza_prata,0.979
b,119,1175,1178,amarelo,0.6318
b,121,1185,1386,cinza_prata,0.7728
b,124,1209,1471,cinza_prata,0.7357
b,127,1219,1314,cinza_prata,0.9106
b,128,1224,1304,cinza_prata,0.8682
b,129,1244,1487,cinza_prata,0.7897
b,134,1271,1511,vermelho,0.9287
b,135,1272,1303,cinza_prata,0.8984
b,136,1274,1516,preto,0.7937
b,138,1299,1534,cinza_prata,0.7699
b,140,1331,1516,azul,0.8376
b,142,1342,1548,preto,0.8077
b,144,1369,1544,cinza_prata,0.8304
b,145,1386,1548,preto,0.7262
b,146,1396,1548,preto,0.8385
b,156,1445,1530,preto,0.8519
b,161,1460,1548,cinza_prata,0.9031
b,162,1464,1465,preto,0.8389
b,164,1503,1545,amarelo,0.6123
