video_id,track_id,frame_inicial,frame_final,cor,confianca_media
b,1,0,15,preto,1.0
b,2,0,103,azul,0.8518
b,3,0,171,cinza_prata,0.7421
b,4,11,155,preto,0.958
b,8,70,241,branco,0.8496
b,10,81,234,azul,0.9648
b,13,170,392,cinza_prata,0.8853
b,14,173,317,cinza_prata,0.8303
b,18,196,370,cinza_prata,0.9527
b,19,196,324,cinza_prata,0.751
b,20,206,397,preto,0.7796
b,22,218,414,preto,0.7327
b,23,228,232,dourado,0.9931
b,24,240,319,dourado,0.7989
b,26,245,245,vermelho,1.0
b,27,248,344,branco,0.9496
b,30,278,340,vermelho,1.0
b,31,281,437,cinza_prata,0.8003
b,36,361,524,azul,0.925
b,38,367,539,marrom,0.7044
b,40,372,401,cinza_prata,0.716
b,42,374,479,cinza_prata,0.6748
b,44,375,386,cinza_prata,0.7925
b,45,381,539,preto,0.9409
b,46,382,413,dourado,0.8367
b,47,384,403,branco,0.8087
b,48,390,550,azul,0.8757
b,54,414,516,vermelho,0.68
b,59,435,484,preto,0.7167
b,63,469,692,preto,0.8823
b,64,489,720,vermelho,0.9449
b,68,532,657,cinza_prata,0.8978
b,69,538,683,preto,0.819
b,71,547,550,vermelho,0.9999
b,72,553,691,azul,0.8796
b,78,620,734,cinza_prata,0.8961
b,81,627,724,branco,0.9354
b,82,640,788,azul,0.8387
b,83,641,653,cinza_prata,0.9928
b,84,661,837,preto,0.9945
b,85,695,744,cinza_prata,0.8818
b,87,744,748,azul,0.7233
b,88,773,791,cinza_prata,0.9584
b,89,808,910,preto,0.7873
b,93,872,1007,cinza_prata,0.9547
b,94,877,1037,preto,0.8248
b,95,881,1036,cinza_prata,0.9912
b,96,886,1070,preto,0.9898
b,97,887,1023,branco,0.8331
b,102,908,1100,amarelo,0.9228
b,103,910,1011,branco,0.8102
b,104,925,927,preto,1.0
b,106,929,1043,cinza_prata,0.904
b,108,942,949,azul,0.9477
b,109,952,955,preto,0.9923
b,116,971,992,preto,0.8868
b,119,972,1036,preto,0.9677
b,120,973,1141,azul,0.9999
b,121,974,1152,cinza_prata,0.808
b,122,978,1136,preto,0.8063
b,125,992,1153,vermelho,0.9578
b,128,1000,1000,branco,0.8561
b,130,1025,1025,preto,0.9254
b,132,1072,1234,cinza_prata,0.7404
b,133,1089,1163,cinza_prata,0.8973
b,137,1105,1105,cinza_prata,0.968
b,140,1112,1162,cinza_prata,0.9659
b,141,1115,1115,branco,0.8597
b,145,1132,1303,preto,0.9031
b,146,1150,1165,preto,0.8545
b,153,1178,1274,branco,0.8436
b,154,1180,1391,cinza_prata,0.8611
b,157,1183,1224,preto,0.8618
b,159,1190,1350,azul,0.7754
b,160,1190,1278,cinza_prata,0.9313
b,162,1210,1386,cinza_prata,0.8918
b,165,1246,1427,dourado,0.8019
b,166,1270,1451,vermelho,0.8929
b,167,1279,1463,preto,0.7588
b,172,1300,1481,cinza_prata,0.8211
b,174,1343,1503,vermelho,0.6917
b,175,1370,1512,preto,0.7854
b,178,1390,1504,preto,0.8631
b,180,1396,1459,preto,0.9232
b,181,1405,1518,preto,0.8212
b,191,1458,1541,preto,0.6471
b,194,1465,1465,cinza_prata,0.9266
b,196,1475,1499,branco,0.756
b,202,1535,1548,branco,0.6005
