video_id,track_id,frame_inicial,frame_final,cor,confianca_media
b,1,0,18,preto,0.5697
b,2,0,102,azul,0.7738
b,3,0,168,preto,0.7697
b,4,12,153,amarelo,0.4505
b,6,69,240,branco,0.8769
b,8,81,234,azul,0.6851
b,10,171,393,cinza_prata,0.6685
b,11,174,324,vermelho,0.6463
b,13,192,315,vermelho,0.6358
b,16,204,390,preto,0.6042
b,17,219,411,preto,0.629
b,18,219,366,cinza_prata,0.7415
b,21,255,342,branco,0.9999
b,22,273,339,vermelho,0.9966
b,23,282,435,cinza_prata,0.8333
b,28,363,405,azul,0.7661
b,29,366,531,marrom,0.5722
b,32,375,477,branco,0.4278
b,33,381,537,preto,0.8035
b,36,387,537,vermelho,0.5232
b,46,423,513,cinza_prata,0.5889
b,53,462,519,azul,0.7511
b,54,471,690,preto,0.7676
b,55,489,492,vermelho,1.0
b,57,519,717,vermelho,0.984
b,59,534,648,cinza_prata,0.6247
b,60,546,549,vermelho,0.7653
b,62,555,687,azul,0.7298
b,64,564,726,branco,0.803
b,68,621,732,cinza_prata,0.7353
b,69,627,681,marrom,0.3947
b,71,642,804,azul,0.4671
b,72,642,651,cinza_prata,0.6387
b,74,663,834,preto,0.9085
b,75,666,723,laranja,0.233
b,76,696,744,cinza_prata,0.5715
b,77,771,789,cinza_prata,0.6146
b,79,813,906,preto,0.6633
b,80,828,861,cinza_prata,0.8197
b,81,870,1005,branco,0.8838
b,82,879,888,amarelo,0.7715
b,83,882,1032,cinza_prata,0.8092
b,84,888,1020,branco,0.9559
b,86,894,1035,preto,0.5186
b,88,900,1068,preto,0.9614
b,89,909,1098,amarelo,0.9906
b,91,930,1041,cinza_prata,0.6211
b,92,942,1149,preto,0.7385
b,95,963,1032,vermelho,0.6877
b,97,972,978,preto,0.9776
b,98,972,1137,azul,0.9732
b,99,975,990,cinza_prata,0.563
b,101,978,1134,laranja,0.6883
b,103,993,1149,vermelho,0.9164
b,108,1035,1035,vermelho,0.6724
b,110,1071,1077,vermelho,0.9145
b,111,1083,1143,preto,0.6977
b,112,1089,1239,branco,0.7163
b,118,1119,1161,cinza_prata,0.8618
b,119,1134,1299,preto,0.5911
b,121,1152,1161,vermelho,0.4895
b,128,1179,1272,branco,0.5056
b,129,1179,1389,cinza_prata,0.7468
b,130,1191,1347,azul,0.5797
b,134,1212,1386,marrom,0.6196
b,136,1215,1275,cinza_prata,0.8645
b,137,1245,1425,branco,0.6145
b,138,1272,1449,vermelho,0.9427
b,139,1281,1467,preto,0.712
b,141,1302,1479,cinza_prata,0.6405
b,144,1344,1500,vermelho,0.7273
b,145,1371,1461,preto,0.7411
b,147,1398,1500,cinza_prata,0.752
b,149,1404,1515,preto,0.643
b,151,1431,1431,branco,0.9351
b,152,1431,1431,cinza_prata,0.2262
b,153,1458,1539,cinza_prata,0.3256
b,155,1476,1497,branco,0.755
b,160,1530,1533,branco,0.8274
b,161,1533,1533,azul,0.4968
b,162,1542,1545,laranja,0.7665
