video_id,track_id,frame_inicial,frame_final,cor,confianca_media
b,1,0,20,preto,0.8013
b,2,0,170,cinza_prata,0.6573
b,3,0,198,azul,0.797
b,4,0,26,cinza_prata,0.7302
b,5,0,6,cinza_prata,0.7544
b,7,12,232,preto,0.7668
b,8,22,22,cinza_prata,0.7017
b,12,58,252,azul,0.8794
b,13,68,272,cinza_prata,0.7901
b,17,110,400,cinza_prata,0.7192
b,21,148,394,cinza_prata,0.6827
b,22,172,420,cinza_prata,0.7741
b,25,182,414,cinza_prata,0.6223
b,28,190,444,dourado,0.6717
b,29,206,258,cinza_prata,0.5934
b,33,218,452,cinza_prata,0.7444
b,36,222,278,cinza_prata,0.7772
b,38,224,468,vermelho,0.8069
b,40,246,250,verde,0.8398
b,41,254,480,branco,0.7397
b,42,280,510,cinza_prata,0.8771
b,43,294,300,cinza_prata,0.7573
b,51,336,448,cinza_prata,0.6772
b,54,340,456,cinza_prata,0.767
b,56,348,542,preto,0.8101
b,58,360,602,azul,0.8978
b,59,366,596,cinza_prata,0.6449
b,60,380,614,cinza_prata,0.7162
b,61,386,456,cinza_prata,0.6251
b,67,412,608,dourado,0.7088
b,78,434,692,preto,0.6778
b,83,442,490,cinza_prata,0.6571
b,85,450,450,marrom,0.5874
b,90,466,724,vermelho,0.771
b,102,500,654,cinza_prata,0.7012
b,103,506,542,vermelho,0.9443
b,107,554,726,azul,0.7279
b,110,562,732,branco,0.7866
b,111,566,704,cinza_prata,0.8024
b,113,598,600,branco,0.8818
b,117,616,806,branco,0.6467
b,120,622,862,cinza_prata,0.8821
b,121,622,840,preto,0.7031
b,123,640,644,dourado,0.8813
b,125,646,888,cinza_prata,0.6437
b,132,702,748,cinza_prata,0.7941
b,141,772,788,azul,0.7363
b,142,780,784,cinza_prata,0.7065
b,143,782,1010,cinza_prata,0.6805
b,147,808,1036,cinza_prata,0.6862
b,150,812,984,preto,0.6812
b,151,812,1070,preto,0.7042
b,155,870,1096,amarelo,0.8225
b,157,878,882,cinza_prata,0.9229
b,158,882,884,cinza_prata,0.7217
b,159,886,1114,preto,0.6591
b,160,888,1072,cinza_prata,0.8602
b,162,930,1162,cinza_prata,0.9039
b,163,930,1140,azul,0.9122
b,164,942,1156,cinza_prata,0.7319
b,167,978,1222,cinza_prata,0.6459
b,169,990,1236,vermelho,0.8401
b,178,1036,1036,cinza_prata,0.8838
b,182,1054,1060,cinza_prata,0.5044
b,186,1072,1324,cinza_prata,0.6946
b,187,1084,1176,cinza_prata,0.7444
b,195,1108,1108,cinza_prata,0.8911
b,198,1114,1348,cinza_prata,0.621
b,200,1116,1116,cinza_prata,0.8086
b,202,1128,1172,preto,0.8315
b,207,1136,1140,cinza_prata,0.6785
b,213,1148,1160,azul,0.7673
b,217,1152,1180,amarelo,0.7476
b,218,1156,1158,cinza_prata,0.8516
b,225,1170,1296,cinza_prata,0.7331
b,226,1172,1174,cinza_prata,0.8193
b,234,1190,1348,cinza_prata,0.6883
b,237,1212,1456,cinza_prata,0.6812
b,238,1220,1298,cinza_prata,0.7354
b,239,1222,1324,cinza_prata,0.9069
b,245,1244,1394,cinza_prata,0.9663
b,246,1246,1482,cinza_prata,0.6953
b,247,1246,1316,cinza_prata,0.5343
b,249,1272,1508,vermelho,0.8637
b,250,1276,1514,cinza_prata,0.748
b,255,1300,1538,cinza_prata,0.6937
b,260,1326,1332,cinza_prata,0.5322
b,262,1342,1548,cinza_prata,0.7138
b,264,1362,1500,cinza_prata,0.5757
b,266,1368,1548,vermelho,0.6722
b,269,1386,1548,cinza_prata,0.797
b,274,1420,1548,cinza_prata,0.5905
b,277,1462,1548,cinza_prata,0.6972
b,283,1488,1548,preto,0.6569
b,289,1528,1548,branco,0.7578
b,293,1542,1546,cinza_prata,0.7393
