epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,81.2832,0.82116,0.86258,0.99654,0.40674,0.000237322,0.000237322,0.000237322
2,146.835,0.14687,0.88332,0.99654,0.38013,0.000453932,0.000453932,0.000453932
3,212.569,0.11868,0.8522,0.99741,0.43473,0.000649123,0.000649123,0.000649123
4,277.719,0.09457,0.89369,0.99654,0.38883,0.00061761,0.00061761,0.00061761
5,341.219,0.07029,0.87035,0.99827,0.43465,0.00058548,0.00058548,0.00058548
6,406.696,0.05886,0.86603,0.99827,0.44539,0.00055335,0.00055335,0.00055335
7,471.133,0.05367,0.89196,0.99827,0.47485,0.00052122,0.00052122,0.00052122
8,535.525,0.04598,0.8911,0.99568,0.37549,0.00048909,0.00048909,0.00048909
9,600.697,0.03739,0.89801,0.99654,0.47021,0.00045696,0.00045696,0.00045696
10,665.485,0.03663,0.89283,0.99654,0.49105,0.00042483,0.00042483,0.00042483
11,737.044,0.03276,0.89974,0.99568,0.40763,0.0003927,0.0003927,0.0003927
12,802.854,0.02745,0.90666,0.99654,0.39494,0.00036057,0.00036057,0.00036057
13,867.027,0.0265,0.90406,0.99827,0.35881,0.00032844,0.00032844,0.00032844
14,931.708,0.02217,0.91011,0.99568,0.33248,0.00029631,0.00029631,0.00029631
15,996.245,0.01833,0.90752,0.99741,0.43628,0.00026418,0.00026418,0.00026418
16,1060.41,0.01697,0.90666,0.99741,0.37402,0.00023205,0.00023205,0.00023205
17,1124.76,0.01429,0.9032,0.99741,0.4305,0.00019992,0.00019992,0.00019992
18,1188.94,0.01201,0.90579,0.99568,0.44775,0.00016779,0.00016779,0.00016779
19,1253.36,0.01049,0.90666,0.99741,0.50016,0.00013566,0.00013566,0.00013566
