epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,454.287,1.01549,1.127,0.93952,0.76745,0.73764,0.78013,0.51213,1.17675,inf,0.97024,0.000663623,0.000663623,0.000663623
2,871.496,0.84696,0.59757,0.8914,0.76602,0.71933,0.75996,0.48119,1.28077,inf,1.00673,0.00122054,0.00122054,0.00122054
3,1283.96,0.77148,0.48347,0.86686,0.75344,0.72029,0.75069,0.51219,1.12042,inf,0.98203,0.00166746,0.00166746,0.00166746
4,1682.98,0.73545,0.43839,0.8619,0.75952,0.73264,0.78368,0.5078,1.26015,inf,1.0326,0.001505,0.001505,0.001505
5,2079.19,0.71,0.40953,0.85669,0.78173,0.73434,0.79439,0.51433,1.25567,inf,1.02482,0.00134,0.00134,0.00134
6,2474.24,0.69083,0.38925,0.85153,0.77777,0.71583,0.7806,0.5321,1.18765,inf,1.00935,0.001175,0.001175,0.001175
7,2866.65,0.67563,0.37356,0.84758,0.76999,0.70986,0.77892,0.52703,1.21021,inf,1.0107,0.00101,0.00101,0.00101
8,3260.54,0.66263,0.36217,0.84457,0.77973,0.71707,0.78656,0.53254,1.21647,inf,1.0173,0.000845,0.000845,0.000845
9,3652.98,0.65013,0.35019,0.84128,0.77091,0.7178,0.78377,0.50735,1.29451,inf,1.03529,0.00068,0.00068,0.00068
10,4046.05,0.63891,0.34118,0.83834,0.75917,0.7178,0.77112,0.51552,1.25455,inf,1.02859,0.000515,0.000515,0.000515
11,4437.85,0.62737,0.3313,0.83612,0.78171,0.71149,0.77992,0.52989,1.23519,inf,1.02063,0.00035,0.00035,0.00035
12,4830.19,0.61659,0.32154,0.83266,0.77018,0.71338,0.77355,0.52221,1.24754,inf,1.02395,0.000185,0.000185,0.000185
