epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,50.3971,0.79859,0.86258,0.99741,0.4292,0.000236558,0.000236558,0.000236558
2,81.6136,0.15711,0.85653,0.99568,0.47624,0.000453202,0.000453202,0.000453202
3,113.055,0.13686,0.85998,0.99568,0.46061,0.000648427,0.000648427,0.000648427
4,143.921,0.11319,0.87554,0.99654,0.36723,0.00061761,0.00061761,0.00061761
5,174.879,0.09191,0.89283,0.99827,0.35181,0.00058548,0.00058548,0.00058548
6,205.731,0.07579,0.88073,0.99741,0.41024,0.00055335,0.00055335,0.00055335
7,236.847,0.07081,0.879,0.99654,0.41943,0.00052122,0.00052122,0.00052122
8,267.752,0.05984,0.87381,0.99741,0.43978,0.00048909,0.00048909,0.00048909
9,298.787,0.05194,0.90147,0.99827,0.28963,0.00045696,0.00045696,0.00045696
10,329.739,0.04609,0.90925,0.99654,0.30379,0.00042483,0.00042483,0.00042483
11,367.224,0.04052,0.9032,0.99827,0.34017,0.0003927,0.0003927,0.0003927
12,398.263,0.03615,0.9032,0.99741,0.37069,0.00036057,0.00036057,0.00036057
13,429.189,0.02952,0.92308,0.99914,0.28833,0.00032844,0.00032844,0.00032844
14,460.352,0.02708,0.90666,0.99827,0.29655,0.00029631,0.00029631,0.00029631
15,491.359,0.02362,0.91357,0.99827,0.34436,0.00026418,0.00026418,0.00026418
16,522.249,0.02099,0.91876,0.99741,0.27271,0.00023205,0.00023205,0.00023205
17,553.564,0.01878,0.91098,0.99914,0.32699,0.00019992,0.00019992,0.00019992
18,584.533,0.01597,0.93172,0.99741,0.30347,0.00016779,0.00016779,0.00016779
19,616.09,0.01256,0.92653,0.99827,0.36434,0.00013566,0.00013566,0.00013566
20,647.498,0.01265,0.91962,0.99741,0.30265,0.00010353,0.00010353,0.00010353
