epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,84.0357,0.99566,0.83405,0.99568,0.52173,0.00332384,0.00332384,0.00332384
2,149.335,0.19195,0.85393,0.99654,0.39771,0.00645745,0.00645745,0.00645745
3,214.6,0.10912,0.86171,0.99741,0.40934,0.00939107,0.00939107,0.00939107
4,280.036,0.08819,0.8522,0.99741,0.44312,0.0091,0.0091,0.0091
5,345.396,0.06446,0.86085,0.99654,0.44067,0.0088,0.0088,0.0088
6,410.587,0.05373,0.87986,0.99654,0.43343,0.0085,0.0085,0.0085
7,476.012,0.04661,0.8643,0.99568,0.48853,0.0082,0.0082,0.0082
8,541.458,0.04852,0.87381,0.99827,0.41268,0.0079,0.0079,0.0079
9,606.592,0.04815,0.90579,0.99827,0.35335,0.0076,0.0076,0.0076
10,671.655,0.04811,0.91443,0.99654,0.31063,0.0073,0.0073,0.0073
11,736.9,0.04918,0.90493,0.99827,0.41732,0.007,0.007,0.007
12,802.031,0.0465,0.91184,0.99741,0.37191,0.0067,0.0067,0.0067
13,867.233,0.04505,0.8885,0.99654,0.46313,0.0064,0.0064,0.0064
14,932.425,0.04552,0.89801,0.99741,0.32145,0.0061,0.0061,0.0061
15,997.67,0.04052,0.89023,0.99568,0.4554,0.0058,0.0058,0.0058
16,1062.9,0.04239,0.90406,0.99914,0.32568,0.0055,0.0055,0.0055
17,1128.1,0.04314,0.91011,0.99827,0.31755,0.0052,0.0052,0.0052
18,1193.42,0.03934,0.91443,0.99741,0.38363,0.0049,0.0049,0.0049
19,1259.05,0.03485,0.91789,0.99568,0.39909,0.0046,0.0046,0.0046
20,1324.38,0.03288,0.90925,0.99568,0.33496,0.0043,0.0043,0.0043
21,1395.06,0.02974,0.92481,0.99654,0.31486,0.004,0.004,0.004
22,1460.67,0.02799,0.91011,0.99741,0.32951,0.0037,0.0037,0.0037
23,1526.05,0.02481,0.91098,0.99741,0.33325,0.0034,0.0034,0.0034
24,1591.36,0.0223,0.90752,0.99481,0.36971,0.0031,0.0031,0.0031
25,1656.3,0.01819,0.91962,0.99654,0.38826,0.0028,0.0028,0.0028
26,1721.36,0.01415,0.92135,0.99741,0.31242,0.0025,0.0025,0.0025
27,1786.38,0.01198,0.91616,0.99568,0.34416,0.0022,0.0022,0.0022
28,1851.4,0.00944,0.92048,0.99568,0.35929,0.0019,0.0019,0.0019
29,1916.42,0.00787,0.92048,0.99568,0.328,0.0016,0.0016,0.0016
30,1981.38,0.00652,0.92826,0.99481,0.38094,0.0013,0.0013,0.0013
