epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,639.638,0.9118,0.88633,0.93175,0.77021,0.78412,0.81731,0.59231,1.02007,inf,0.95493,0.000663623,0.000663623,0.000663623
2,1276.65,0.77396,0.45888,0.89064,0.78578,0.75634,0.81172,0.57955,1.0675,inf,0.99495,0.00122054,0.00122054,0.00122054
3,1911.51,0.71423,0.40572,0.86476,0.79023,0.75925,0.81083,0.58229,1.06262,inf,0.9866,0.00166746,0.00166746,0.00166746
4,2536.59,0.68456,0.37665,0.85707,0.79396,0.78116,0.82473,0.59148,1.0389,inf,0.98724,0.001505,0.001505,0.001505
5,3157.03,0.6554,0.35275,0.84954,0.80986,0.76275,0.82202,0.59968,1.06632,inf,0.98081,0.00134,0.00134,0.00134
6,3776.83,0.63602,0.33487,0.84458,0.79524,0.77084,0.81905,0.592,1.07687,inf,0.99683,0.001175,0.001175,0.001175
7,4395.57,0.62064,0.32086,0.84025,0.79476,0.75427,0.81007,0.5989,1.05145,inf,0.98283,0.00101,0.00101,0.00101
8,5013.12,0.60616,0.3107,0.83684,0.79696,0.74855,0.80599,0.59734,1.04426,inf,0.98346,0.000845,0.000845,0.000845
9,5630.54,0.59132,0.29934,0.83318,0.78982,0.75423,0.81042,0.59365,1.08878,inf,0.99511,0.00068,0.00068,0.00068
10,6247.72,0.57814,0.2897,0.83025,0.79211,0.74865,0.80246,0.59963,1.04732,inf,0.98185,0.000515,0.000515,0.000515
